time,time,turbidity,pH
2020-12-05 01:06:55.180858+00:00,2020-12-05 01:06:55.180858+00:00,50.65794167,7.36
2020-12-05 03:20:11.255114+00:00,2020-12-05 03:20:11.255114+00:00,38.21069636,7.35
2020-12-05 10:33:12.844126+00:00,2020-12-05 10:33:12.844126+00:00,1000.0,7.35
2020-12-05 17:15:35.217355+00:00,2020-12-05 17:15:35.217355+00:00,1000.0,7.34
2020-12-07 03:41:39.793142+00:00,2020-12-07 03:41:39.793142+00:00,175.9759972,7.36
2020-12-17 02:18:04.821212+00:00,2020-12-17 02:18:04.821212+00:00,32.85615918,7.36
2020-12-17 02:48:20.908026+00:00,2020-12-17 02:48:20.908026+00:00,32.85615918,7.35
2020-12-19 00:41:13.218426+00:00,2020-12-19 00:41:13.218426+00:00,37.97599715,7.35
2020-12-19 01:11:29.278641+00:00,2020-12-19 01:11:29.278641+00:00,37.97599715,7.35
2020-12-20 00:23:48.152274+00:00,2020-12-20 00:23:48.152274+00:00,37.97599715,7.35
2020-12-20 00:54:04.232075+00:00,2020-12-20 00:54:04.232075+00:00,37.97599715,7.35
2020-12-21 10:33:12.844126+00:00,2020-12-21 10:33:12.844126+00:00,1000.0,7.35
2020-12-21 17:15:35.217355+00:00,2020-12-21 17:15:35.217355+00:00,1000.0,7.34
2020-12-31 01:28:54.409647+00:00,2020-12-31 01:28:54.409647+00:00,311.7346623,7.35
2020-12-31 01:59:10.469345+00:00,2020-12-31 01:59:10.469345+00:00,310.8561592,7.35
2020-12-31 02:29:26.509905+00:00,2020-12-31 02:29:26.509905+00:00,311.9759972,7.36
2020-12-31 02:59:42.589552+00:00,2020-12-31 02:59:42.589552+00:00,310.0941762,7.35
2020-12-31 03:29:58.649298+00:00,2020-12-31 03:29:58.649298+00:00,310.8561592,7.35
2020-12-31 04:00:14.681525+00:00,2020-12-31 04:00:14.681525+00:00,310.9759972,7.35
2020-12-31 04:30:30.746790+00:00,2020-12-31 04:30:30.746790+00:00,280.8561592,7.35
2020-12-31 05:00:46.806100+00:00,2020-12-31 05:00:46.806100+00:00,250.09417620000002,7.35
2020-12-31 05:31:02.868901+00:00,2020-12-31 05:31:02.868901+00:00,230.9759972,7.35
2020-12-31 06:01:18.928168+00:00,2020-12-31 06:01:18.928168+00:00,217.9759972,7.36
2020-12-31 06:31:34.994928+00:00,2020-12-31 06:31:34.994928+00:00,215.9759972,7.36
2020-12-31 07:01:51.043988+00:00,2020-12-31 07:01:51.043988+00:00,210.85615919999998,7.35
2020-12-31 07:32:07.115230+00:00,2020-12-31 07:32:07.115230+00:00,210.73466230000002,7.35
2020-12-31 08:02:23.186189+00:00,2020-12-31 08:02:23.186189+00:00,205.8561592,7.34
2020-12-31 08:32:39.243108+00:00,2020-12-31 08:32:39.243108+00:00,205.73466230000002,7.35
2020-12-31 09:02:55.298925+00:00,2020-12-31 09:02:55.298925+00:00,190.8561592,7.35
2020-12-31 09:33:11.360556+00:00,2020-12-31 09:33:11.360556+00:00,188.9759972,7.35
2020-12-31 10:03:27.426802+00:00,2020-12-31 10:03:27.426802+00:00,179.73466230000002,7.36
2020-12-31 10:33:43.485235+00:00,2020-12-31 10:33:43.485235+00:00,180.0941762,7.35
2020-12-31 11:03:59.552123+00:00,2020-12-31 11:03:59.552123+00:00,175.6115065,7.35
2020-12-31 11:34:15.618333+00:00,2020-12-31 11:34:15.618333+00:00,165.8561592,7.35
2020-12-31 13:05:03.806435+00:00,2020-12-31 13:05:03.806435+00:00,150.6115065,7.35
2020-12-31 13:35:19.860262+00:00,2020-12-31 13:35:19.860262+00:00,149.8561592,7.34
2020-12-31 14:05:35.928188+00:00,2020-12-31 14:05:35.928188+00:00,142.6115065,7.35
2020-12-31 14:35:51.987329+00:00,2020-12-31 14:35:51.987329+00:00,142.73466230000002,7.35
2020-12-31 15:36:24.105832+00:00,2020-12-31 15:36:24.105832+00:00,150.6115065,7.35
2020-12-31 16:06:40.177989+00:00,2020-12-31 16:06:40.177989+00:00,149.8561592,7.35
2020-12-31 16:36:56.227927+00:00,2020-12-31 16:36:56.227927+00:00,142.6115065,7.35
2020-12-31 17:07:12.292618+00:00,2020-12-31 17:07:12.292618+00:00,142.73466230000002,7.36
2020-12-31 17:37:28.360961+00:00,2020-12-31 17:37:28.360961+00:00,137.6115065,7.35
2020-12-31 18:07:44.449299+00:00,2020-12-31 18:07:44.449299+00:00,136.73466230000002,7.35
2020-12-31 18:38:00.509299+00:00,2020-12-31 18:38:00.509299+00:00,135.85781809999997,7.35
2020-12-31 19:08:16.634358+00:00,2020-12-31 19:08:16.634358+00:00,134.9809739,7.35
2020-12-31 19:38:32.598589+00:00,2020-12-31 19:38:32.598589+00:00,134.10412970000002,7.35
2020-12-31 20:08:48.683955+00:00,2020-12-31 20:08:48.683955+00:00,133.2272855,7.35
2020-12-31 20:39:04.753958+00:00,2020-12-31 20:39:04.753958+00:00,132.3504413,7.35
2020-12-31 21:09:20.796012+00:00,2020-12-31 21:09:20.796012+00:00,131.47359709999998,7.35
2020-12-31 21:39:36.851682+00:00,2020-12-31 21:39:36.851682+00:00,130.5967529,7.36
2020-12-31 22:09:52.920605+00:00,2020-12-31 22:09:52.920605+00:00,129.71990870000002,7.35
2020-12-31 22:40:08.980844+00:00,2020-12-31 22:40:08.980844+00:00,128.8430645,7.35
2020-12-31 23:10:25.040855+00:00,2020-12-31 23:10:25.040855+00:00,117.8561592,7.35
2020-12-31 23:40:41.096710+00:00,2020-12-31 23:40:41.096710+00:00,116.97599720000001,7.35
2021-01-01 00:10:57.158671+00:00,2021-01-01 00:10:57.158671+00:00,116.0958351,7.35
2021-01-01 00:41:13.218426+00:00,2021-01-01 00:41:13.218426+00:00,115.21567309999999,7.35
2021-01-01 01:11:29.278641+00:00,2021-01-01 01:11:29.278641+00:00,114.3355111,7.35
2021-01-01 01:41:45.358517+00:00,2021-01-01 01:41:45.358517+00:00,113.455349,7.35
2021-01-01 02:12:01.418164+00:00,2021-01-01 02:12:01.418164+00:00,112.57518700000001,7.36
2021-01-01 02:42:17.477846+00:00,2021-01-01 02:42:17.477846+00:00,111.695025,7.35
2021-01-01 03:12:33.539529+00:00,2021-01-01 03:12:33.539529+00:00,114.3355111,7.35
2021-01-01 03:42:49.598213+00:00,2021-01-01 03:42:49.598213+00:00,113.455349,7.35
2021-01-01 04:13:05.658433+00:00,2021-01-01 04:13:05.658433+00:00,112.57518700000001,7.34
2021-01-01 04:43:21.738074+00:00,2021-01-01 04:43:21.738074+00:00,118.695025,7.35
2021-01-01 05:13:37.798489+00:00,2021-01-01 05:13:37.798489+00:00,117.3355111,7.35
2021-01-01 05:43:53.865925+00:00,2021-01-01 05:43:53.865925+00:00,115.97599720000001,7.35
2021-01-01 06:14:09.920056+00:00,2021-01-01 06:14:09.920056+00:00,118.695025,7.34
2021-01-01 06:44:25.998533+00:00,2021-01-01 06:44:25.998533+00:00,117.3355111,7.36
2021-01-01 07:14:42.058516+00:00,2021-01-01 07:14:42.058516+00:00,115.97599720000001,7.34
2021-01-01 07:44:58.117997+00:00,2021-01-01 07:44:58.117997+00:00,118.695025,7.35
2021-01-01 08:45:30.257139+00:00,2021-01-01 08:45:30.257139+00:00,121.4140528,7.35
2021-01-01 09:15:46.296555+00:00,2021-01-01 09:15:46.296555+00:00,117.3355111,7.35
2021-01-01 09:46:02.383719+00:00,2021-01-01 09:46:02.383719+00:00,115.97599720000001,7.35
2021-01-01 10:16:18.436286+00:00,2021-01-01 10:16:18.436286+00:00,110.61648319999999,7.36
2021-01-01 10:46:34.489596+00:00,2021-01-01 10:46:34.489596+00:00,100.97599720000001,7.35
2021-01-01 11:16:50.548891+00:00,2021-01-01 11:16:50.548891+00:00,70.97599715,7.36
2021-01-01 11:47:06.617958+00:00,2021-01-01 11:47:06.617958+00:00,68.76841341,7.36
2021-01-01 12:17:22.676774+00:00,2021-01-01 12:17:22.676774+00:00,67.09417621,7.35
2021-01-01 13:17:54.791224+00:00,2021-01-01 13:17:54.791224+00:00,70.43875992,7.35
2021-01-01 13:48:10.853753+00:00,2021-01-01 13:48:10.853753+00:00,70.97599715,7.34
2021-01-01 14:18:26.925523+00:00,2021-01-01 14:18:26.925523+00:00,68.76841341,7.35
2021-01-01 14:48:42.981258+00:00,2021-01-01 14:48:42.981258+00:00,67.09417621,7.35
2021-01-01 15:18:59.064278+00:00,2021-01-01 15:18:59.064278+00:00,70.43875992,7.35
2021-01-01 15:49:15.110429+00:00,2021-01-01 15:49:15.110429+00:00,70.97599715,7.34
2021-01-01 16:19:31.163968+00:00,2021-01-01 16:19:31.163968+00:00,68.76841341,7.35
2021-01-01 16:49:47.243775+00:00,2021-01-01 16:49:47.243775+00:00,67.09417621,7.35
2021-01-01 17:20:03.303951+00:00,2021-01-01 17:20:03.303951+00:00,70.43875992,7.35
2021-01-01 17:50:19.365976+00:00,2021-01-01 17:50:19.365976+00:00,70.97599715,7.35
2021-01-01 18:20:35.426822+00:00,2021-01-01 18:20:35.426822+00:00,68.76841341,7.35
2021-01-01 18:50:51.484634+00:00,2021-01-01 18:50:51.484634+00:00,67.09417621,7.37
2021-01-01 19:21:07.543287+00:00,2021-01-01 19:21:07.543287+00:00,70.43875992,7.36
2021-01-01 19:51:23.603281+00:00,2021-01-01 19:51:23.603281+00:00,70.97599715,7.35
2021-01-01 20:21:39.670921+00:00,2021-01-01 20:21:39.670921+00:00,68.76841341,7.35
