,time,data_rate,rssi,sensor,snr
171,2019-10-25 10:05:55.509149184+00:00,SF12BW125,-109,node3,0.5
172,2019-10-25 10:06:40.364152832+00:00,SF12BW125,-102,node2,4.2
173,2019-10-25 10:07:21.298759936+00:00,SF12BW125,-89,node1,9.2
174,2019-10-25 10:08:07.740288+00:00,SF12BW125,-111,node3,-7.0
175,2019-10-25 10:08:27.441028096+00:00,SF12BW125,-90,node1,10.2
176,2019-10-25 10:08:52.594157824+00:00,SF12BW125,-101,node2,5.0
177,2019-10-25 10:09:13.857573888+00:00,SF12BW125,-111,node3,-8.5
178,2019-10-25 10:09:33.539696896+00:00,SF12BW125,-89,node1,8.5
179,2019-10-25 10:09:58.712771840+00:00,SF12BW125,-103,node2,4.8
180,2019-10-25 10:10:19.984002048+00:00,SF12BW125,-109,node3,-3.2
181,2019-10-25 10:10:39.647948032+00:00,SF12BW125,-88,node1,8.2
182,2019-10-25 10:11:04.825701888+00:00,SF12BW125,-102,node2,4.5
183,2019-10-25 10:11:45.772000+00:00,SF12BW125,-89,node1,7.8
184,2019-10-25 10:12:32.213579776+00:00,SF12BW125,-109,node3,-4.0
185,2019-10-25 10:12:51.884273920+00:00,SF12BW125,-88,node1,8.5
186,2019-10-25 10:13:38.329158912+00:00,SF12BW125,-109,node3,-3.2
187,2019-10-25 10:13:57.995660032+00:00,SF12BW125,-90,node1,6.8
188,2019-10-25 10:14:23.179332096+00:00,SF12BW125,-103,node2,5.8
189,2019-10-25 10:15:29.298647040+00:00,SF12BW125,-101,node2,4.2
190,2019-10-25 10:15:50.556592896+00:00,SF12BW125,-108,node3,-1.2
191,2019-10-25 10:16:10.236624896+00:00,SF12BW125,-85,node1,9.0
192,2019-10-25 10:16:56.672236800+00:00,SF12BW125,-109,node3,-3.0
193,2019-10-25 10:17:16.354192128+00:00,SF12BW125,-88,node1,7.8
194,2019-10-25 10:18:22.471291136+00:00,SF12BW125,-88,node1,7.5
195,2019-10-25 10:19:08.911120896+00:00,SF12BW125,-110,node3,-1.8
196,2019-10-25 10:19:28.588023040+00:00,SF12BW125,-90,node1,9.5
197,2019-10-25 10:19:53.772489984+00:00,SF12BW125,-102,node2,4.8
198,2019-10-25 10:20:34.709841920+00:00,SF12BW125,-90,node1,9.0
199,2019-10-25 10:20:59.887741184+00:00,SF12BW125,-102,node2,3.8
200,2019-10-25 10:21:21.142849024+00:00,SF12BW125,-111,node3,-4.2
201,2019-10-25 10:21:40.843532032+00:00,SF12BW125,-88,node1,9.5
202,2019-10-25 10:22:06.002551040+00:00,SF12BW125,-102,node2,5.2
203,2019-10-25 10:22:27.265167872+00:00,SF12BW125,-111,node3,-5.8
204,2019-10-25 10:22:46.935631104+00:00,SF12BW125,-88,node1,8.2
205,2019-10-25 10:23:33.380201216+00:00,SF12BW125,-113,node3,-1.8
206,2019-10-25 10:23:53.061400064+00:00,SF12BW125,-90,node1,8.8
207,2019-10-25 10:24:18.233072896+00:00,SF12BW125,-103,node2,2.8
208,2019-10-25 10:24:39.503236096+00:00,SF12BW125,-109,node3,-4.0
209,2019-10-25 10:24:59.168899072+00:00,SF12BW125,-89,node1,8.0
210,2019-10-25 10:25:24.357917952+00:00,SF12BW125,-103,node2,5.0
211,2019-10-25 10:25:45.616091904+00:00,SF12BW125,-111,node3,-2.2
212,2019-10-25 10:26:05.286358016+00:00,SF12BW125,-87,node1,9.0
213,2019-10-25 10:26:30.468333056+00:00,SF12BW125,-102,node2,5.0
214,2019-10-25 10:26:51.726103040+00:00,SF12BW125,-111,node3,-2.5
215,2019-10-25 10:27:36.591241984+00:00,SF12BW125,-103,node2,5.0
216,2019-10-25 10:27:57.840024832+00:00,SF12BW125,-111,node3,-3.2
217,2019-10-25 10:29:23.632363008+00:00,SF12BW125,-85,node1,8.5
218,2019-10-25 10:29:48.818605056+00:00,SF12BW125,-101,node2,5.0
219,2019-10-25 10:30:10.076390912+00:00,SF12BW125,-112,node3,-4.2
220,2019-10-25 10:30:29.760977152+00:00,SF12BW125,-88,node1,7.8
221,2019-10-25 10:30:54.940602112+00:00,SF12BW125,-102,node2,5.5
222,2019-10-25 10:31:16.193753088+00:00,SF12BW125,-111,node3,-2.5
223,2019-10-25 10:31:35.872015872+00:00,SF12BW125,-87,node1,9.5
224,2019-10-25 10:32:22.308589056+00:00,SF12BW125,-109,node3,-1.8
225,2019-10-25 10:33:07.171229952+00:00,SF12BW125,-102,node2,5.0
226,2019-10-25 10:33:28.430481920+00:00,SF12BW125,-109,node3,-3.5
227,2019-10-25 10:33:48.105789952+00:00,SF12BW125,-88,node1,8.0
228,2019-10-25 10:34:13.295545088+00:00,SF12BW125,-103,node2,4.5
229,2019-10-25 10:34:34.545255936+00:00,SF12BW125,-109,node3,-1.2
230,2019-10-25 10:34:54.223345152+00:00,SF12BW125,-86,node1,8.2
231,2019-10-25 10:35:19.411115008+00:00,SF12BW125,-102,node2,4.8
232,2019-10-25 10:35:40.661302016+00:00,SF12BW125,-108,node3,-1.8
233,2019-10-25 10:36:25.531606016+00:00,SF12BW125,-100,node2,5.5
234,2019-10-25 10:36:46.781007104+00:00,SF12BW125,-109,node3,-2.0
235,2019-10-25 10:37:06.455673088+00:00,SF12BW125,-88,node1,9.0
236,2019-10-25 10:37:52.896201984+00:00,SF12BW125,-109,node3,-0.5
237,2019-10-25 10:38:37.757286144+00:00,SF12BW125,-100,node2,5.0
238,2019-10-25 10:38:59.008061952+00:00,SF12BW125,-109,node3,-0.5
239,2019-10-25 10:39:18.688322048+00:00,SF12BW125,-88,node1,9.2
240,2019-10-25 10:40:05.132588032+00:00,SF12BW125,-109,node3,-1.5
241,2019-10-25 10:40:24.808110848+00:00,SF12BW125,-87,node1,8.8
242,2019-10-25 10:40:49.994610176+00:00,SF12BW125,-101,node2,4.0
243,2019-10-25 10:41:30.928463872+00:00,SF12BW125,-86,node1,8.0
244,2019-10-25 10:41:56.111779840+00:00,SF12BW125,-102,node2,5.0
245,2019-10-25 10:42:37.044104960+00:00,SF12BW125,-89,node1,9.8
246,2019-10-25 10:43:02.222915840+00:00,SF12BW125,-102,node2,4.5
247,2019-10-25 10:43:23.488936960+00:00,SF12BW125,-109,node3,-4.2
248,2019-10-25 10:44:08.347700224+00:00,SF12BW125,-102,node2,5.8
249,2019-10-25 10:44:29.594067200+00:00,SF12BW125,-108,node3,-3.2
250,2019-10-25 10:44:49.272551936+00:00,SF12BW125,-90,node1,10.5
251,2019-10-25 10:45:14.466914816+00:00,SF12BW125,-102,node2,4.5
252,2019-10-25 10:45:35.713356032+00:00,SF12BW125,-108,node3,-2.0
253,2019-10-25 10:45:55.396802816+00:00,SF12BW125,-86,node1,9.2
254,2019-10-25 10:46:20.573890816+00:00,SF12BW125,-102,node2,5.2
255,2019-10-25 10:47:47.943973120+00:00,SF12BW125,-109,node3,-1.2
256,2019-10-25 10:48:07.623374848+00:00,SF12BW125,-86,node1,9.2
257,2019-10-25 10:48:32.816343040+00:00,SF12BW125,-102,node2,4.8
258,2019-10-25 10:48:54.074678784+00:00,SF12BW125,-109,node3,-9.5
259,2019-10-25 10:49:13.740212992+00:00,SF12BW125,-89,node1,8.2
260,2019-10-25 10:49:38.926536960+00:00,SF12BW125,-103,node2,4.0
261,2019-10-25 10:50:00.184772864+00:00,SF12BW125,-107,node3,-0.5
262,2019-10-25 10:50:19.856295168+00:00,SF12BW125,-88,node1,9.2
263,2019-10-25 10:51:06.293394944+00:00,SF12BW125,-111,node3,-1.0
264,2019-10-25 10:51:25.974426880+00:00,SF12BW125,-89,node1,9.2
265,2019-10-25 10:51:51.166544896+00:00,SF12BW125,-103,node2,5.5
266,2019-10-25 10:52:32.092221952+00:00,SF12BW125,-90,node1,10.0
267,2019-10-25 10:52:57.284208128+00:00,SF12BW125,-100,node2,5.0
268,2019-10-25 10:53:18.535363840+00:00,SF12BW125,-109,node3,-3.8
269,2019-10-25 10:53:38.210796032+00:00,SF12BW125,-88,node1,10.0
270,2019-10-25 10:54:03.398904064+00:00,SF12BW125,-103,node2,5.2
271,2019-10-25 10:54:24.648966912+00:00,SF12BW125,-109,node3,-1.8
272,2019-10-25 10:54:44.331099904+00:00,SF12BW125,-89,node1,8.0
273,2019-10-25 10:55:09.516904192+00:00,SF12BW125,-101,node2,4.5
274,2019-10-25 10:55:30.762891008+00:00,SF12BW125,-109,node3,-4.0
275,2019-10-25 10:55:50.447559168+00:00,SF12BW125,-88,node1,8.2
276,2019-10-25 10:56:15.631985920+00:00,SF12BW125,-102,node2,4.8
277,2019-10-25 10:56:36.887928064+00:00,SF12BW125,-109,node3,-0.2
278,2019-10-25 10:56:56.563336960+00:00,SF12BW125,-90,node1,9.5
279,2019-10-25 10:57:21.752116992+00:00,SF12BW125,-102,node2,5.2
280,2019-10-25 10:58:27.863152128+00:00,SF12BW125,-103,node2,3.5
281,2019-10-25 10:58:49.113744128+00:00,SF12BW125,-109,node3,-0.2
282,2019-10-25 10:59:08.792593920+00:00,SF12BW125,-86,node1,10.2
283,2019-10-25 10:59:33.983865856+00:00,SF12BW125,-103,node2,3.2
284,2019-10-25 10:59:55.233661952+00:00,SF12BW125,-108,node3,0.2
285,2019-10-25 11:00:14.911219968+00:00,SF12BW125,-88,node1,8.8
286,2019-10-25 11:00:40.097570816+00:00,SF12BW125,-103,node2,4.0
287,2019-10-25 11:01:21.031269120+00:00,SF12BW125,-87,node1,10.0
288,2019-10-25 11:02:07.463501056+00:00,SF12BW125,-109,node3,-3.0
289,2019-10-25 11:02:27.149020928+00:00,SF12BW125,-90,node1,8.2
